"country_code","name","year","age","popM","popF","pop"
296,"Kiribati",1952,34,0.227,0.231,0.458
296,"Kiribati",1952,35,0.221,0.228,0.449
296,"Kiribati",1952,36,0.215,0.225,0.44
296,"Kiribati",1952,37,0.209,0.223,0.432
296,"Kiribati",1952,38,0.203,0.22,0.423
296,"Kiribati",1952,39,0.198,0.217,0.415
296,"Kiribati",1952,40,0.192,0.214,0.406
296,"Kiribati",1952,41,0.187,0.21,0.397
296,"Kiribati",1952,42,0.182,0.205,0.387
296,"Kiribati",1952,43,0.178,0.2,0.378
296,"Kiribati",1952,44,0.173,0.194,0.367
296,"Kiribati",1952,45,0.169,0.188,0.357
296,"Kiribati",1952,46,0.166,0.183,0.349
296,"Kiribati",1952,47,0.163,0.178,0.341
296,"Kiribati",1952,48,0.159,0.174,0.333
296,"Kiribati",1952,49,0.157,0.171,0.328
296,"Kiribati",1952,50,0.155,0.168,0.323
296,"Kiribati",1952,51,0.151,0.165,0.316
296,"Kiribati",1952,52,0.147,0.162,0.309
296,"Kiribati",1952,53,0.143,0.158,0.301
296,"Kiribati",1952,54,0.133,0.148,0.281
296,"Kiribati",1952,55,0.12,0.133,0.253
296,"Kiribati",1952,56,0.113,0.125,0.238
296,"Kiribati",1952,57,0.108,0.12,0.228
296,"Kiribati",1952,58,0.105,0.116,0.221
296,"Kiribati",1952,59,0.104,0.115,0.219
296,"Kiribati",1952,60,0.103,0.114,0.217
296,"Kiribati",1952,61,0.101,0.114,0.215
296,"Kiribati",1952,62,0.099,0.112,0.211
296,"Kiribati",1952,63,0.097,0.111,0.208
296,"Kiribati",1952,64,0.094,0.109,0.203
296,"Kiribati",1952,65,0.092,0.107,0.199
296,"Kiribati",1952,66,0.089,0.105,0.194
296,"Kiribati",1952,67,0.086,0.102,0.188
296,"Kiribati",1952,68,0.082,0.099,0.181
296,"Kiribati",1952,69,0.079,0.096,0.175
296,"Kiribati",1952,70,0.074,0.092,0.166
296,"Kiribati",1952,71,0.071,0.087,0.158
296,"Kiribati",1952,72,0.066,0.083,0.149
296,"Kiribati",1952,73,0.062,0.079,0.141
296,"Kiribati",1952,74,0.057,0.073,0.13
296,"Kiribati",1952,75,0.052,0.069,0.121
296,"Kiribati",1952,76,0.047,0.063,0.11
296,"Kiribati",1952,77,0.043,0.058,0.101
296,"Kiribati",1952,78,0.038,0.052,0.09
296,"Kiribati",1952,79,0.033,0.047,0.08
296,"Kiribati",1952,80,0.029,0.042,0.071
296,"Kiribati",1952,81,0.025,0.036,0.061
296,"Kiribati",1952,82,0.021,0.031,0.052
296,"Kiribati",1952,83,0.017,0.027,0.044
296,"Kiribati",1952,84,0.014,0.022,0.036
296,"Kiribati",1952,85,0.012,0.018,0.03
296,"Kiribati",1952,86,0.009,0.015,0.024
296,"Kiribati",1952,87,0.007,0.012,0.019
296,"Kiribati",1952,88,0.005,0.009,0.014
296,"Kiribati",1952,89,0.004,0.007,0.011
296,"Kiribati",1952,90,0.003,0.006,0.009
296,"Kiribati",1952,91,0.002,0.004,0.006
296,"Kiribati",1952,92,0.001,0.003,0.004
296,"Kiribati",1952,93,0.001,0.002,0.003
296,"Kiribati",1952,94,0.001,0.001,0.002
296,"Kiribati",1952,95,0.001,0.001,0.002
296,"Kiribati",1952,96,0,0.001,0.001
296,"Kiribati",1952,97,0,0.001,0.001
296,"Kiribati",1952,98,0,0,0
296,"Kiribati",1952,99,0,0,0
296,"Kiribati",1952,100,0,0,0
296,"Kiribati",1953,0,0.816,0.776,1.592
296,"Kiribati",1953,1,0.738,0.704,1.442
296,"Kiribati",1953,2,0.699,0.667,1.366
296,"Kiribati",1953,3,0.669,0.638,1.307
296,"Kiribati",1953,4,0.647,0.618,1.265
296,"Kiribati",1953,5,0.593,0.586,1.179
296,"Kiribati",1953,6,0.536,0.541,1.077
296,"Kiribati",1953,7,0.503,0.514,1.017
296,"Kiribati",1953,8,0.475,0.492,0.967
296,"Kiribati",1953,9,0.45,0.472,0.922
296,"Kiribati",1953,10,0.427,0.453,0.88
296,"Kiribati",1953,11,0.406,0.437,0.843
296,"Kiribati",1953,12,0.389,0.423,0.812
296,"Kiribati",1953,13,0.374,0.409,0.783
296,"Kiribati",1953,14,0.361,0.397,0.758
296,"Kiribati",1953,15,0.35,0.385,0.735
296,"Kiribati",1953,16,0.342,0.374,0.716
296,"Kiribati",1953,17,0.335,0.366,0.701
296,"Kiribati",1953,18,0.331,0.358,0.689
296,"Kiribati",1953,19,0.329,0.352,0.681
296,"Kiribati",1953,20,0.327,0.346,0.673
296,"Kiribati",1953,21,0.326,0.342,0.668
296,"Kiribati",1953,22,0.326,0.337,0.663
296,"Kiribati",1953,23,0.323,0.33,0.653
296,"Kiribati",1953,24,0.32,0.324,0.644
296,"Kiribati",1953,25,0.316,0.316,0.632
296,"Kiribati",1953,26,0.311,0.308,0.619
296,"Kiribati",1953,27,0.303,0.299,0.602
296,"Kiribati",1953,28,0.295,0.289,0.584
296,"Kiribati",1953,29,0.285,0.278,0.563
296,"Kiribati",1953,30,0.273,0.267,0.54
296,"Kiribati",1953,31,0.262,0.256,0.518
296,"Kiribati",1953,32,0.251,0.246,0.497
296,"Kiribati",1953,33,0.241,0.238,0.479
296,"Kiribati",1953,34,0.232,0.233,0.465
296,"Kiribati",1953,35,0.225,0.229,0.454
296,"Kiribati",1953,36,0.219,0.226,0.445
296,"Kiribati",1953,37,0.213,0.223,0.436
296,"Kiribati",1953,38,0.206,0.221,0.427
296,"Kiribati",1953,39,0.2,0.218,0.418
296,"Kiribati",1953,40,0.195,0.214,0.409
296,"Kiribati",1953,41,0.19,0.211,0.401
296,"Kiribati",1953,42,0.185,0.207,0.392
296,"Kiribati",1953,43,0.18,0.202,0.382
296,"Kiribati",1953,44,0.176,0.197,0.373
296,"Kiribati",1953,45,0.17,0.191,0.361
296,"Kiribati",1953,46,0.166,0.186,0.352
296,"Kiribati",1953,47,0.163,0.181,0.344
296,"Kiribati",1953,48,0.16,0.176,0.336
296,"Kiribati",1953,49,0.157,0.171,0.328
296,"Kiribati",1953,50,0.154,0.169,0.323
296,"Kiribati",1953,51,0.152,0.166,0.318
296,"Kiribati",1953,52,0.148,0.162,0.31
296,"Kiribati",1953,53,0.144,0.159,0.303
296,"Kiribati",1953,54,0.14,0.156,0.296
296,"Kiribati",1953,55,0.13,0.146,0.276
296,"Kiribati",1953,56,0.117,0.13,0.247
296,"Kiribati",1953,57,0.11,0.122,0.232
296,"Kiribati",1953,58,0.105,0.117,0.222
296,"Kiribati",1953,59,0.102,0.113,0.215
296,"Kiribati",1953,60,0.101,0.112,0.213
296,"Kiribati",1953,61,0.099,0.111,0.21
296,"Kiribati",1953,62,0.097,0.11,0.207
296,"Kiribati",1953,63,0.095,0.108,0.203
296,"Kiribati",1953,64,0.093,0.107,0.2
296,"Kiribati",1953,65,0.09,0.105,0.195
296,"Kiribati",1953,66,0.087,0.102,0.189
296,"Kiribati",1953,67,0.084,0.1,0.184
296,"Kiribati",1953,68,0.081,0.097,0.178
296,"Kiribati",1953,69,0.077,0.094,0.171
296,"Kiribati",1953,70,0.073,0.091,0.164
296,"Kiribati",1953,71,0.069,0.086,0.155
296,"Kiribati",1953,72,0.065,0.082,0.147
296,"Kiribati",1953,73,0.061,0.077,0.138
296,"Kiribati",1953,74,0.056,0.072,0.128
296,"Kiribati",1953,75,0.051,0.067,0.118
296,"Kiribati",1953,76,0.046,0.062,0.108
296,"Kiribati",1953,77,0.042,0.057,0.099
296,"Kiribati",1953,78,0.037,0.052,0.089
296,"Kiribati",1953,79,0.033,0.046,0.079
296,"Kiribati",1953,80,0.029,0.041,0.07
296,"Kiribati",1953,81,0.025,0.036,0.061
296,"Kiribati",1953,82,0.021,0.031,0.052
296,"Kiribati",1953,83,0.017,0.026,0.043
296,"Kiribati",1953,84,0.014,0.022,0.036
296,"Kiribati",1953,85,0.011,0.018,0.029
296,"Kiribati",1953,86,0.009,0.015,0.024
296,"Kiribati",1953,87,0.007,0.012,0.019
296,"Kiribati",1953,88,0.005,0.009,0.014
296,"Kiribati",1953,89,0.004,0.007,0.011
296,"Kiribati",1953,90,0.003,0.005,0.008
296,"Kiribati",1953,91,0.002,0.004,0.006
296,"Kiribati",1953,92,0.001,0.003,0.004
296,"Kiribati",1953,93,0.001,0.002,0.003
296,"Kiribati",1953,94,0.001,0.001,0.002
296,"Kiribati",1953,95,0,0.001,0.001
296,"Kiribati",1953,96,0,0.001,0.001
296,"Kiribati",1953,97,0,0,0
296,"Kiribati",1953,98,0,0,0
296,"Kiribati",1953,99,0,0,0
296,"Kiribati",1953,100,0,0,0
296,"Kiribati",1954,0,0.836,0.794,1.63
296,"Kiribati",1954,1,0.756,0.722,1.478
296,"Kiribati",1954,2,0.715,0.683,1.398
296,"Kiribati",1954,3,0.685,0.654,1.339
296,"Kiribati",1954,4,0.66,0.63,1.29
296,"Kiribati",1954,5,0.641,0.612,1.253
296,"Kiribati",1954,6,0.59,0.582,1.172
296,"Kiribati",1954,7,0.533,0.538,1.071
296,"Kiribati",1954,8,0.501,0.512,1.013
296,"Kiribati",1954,9,0.473,0.49,0.963
296,"Kiribati",1954,10,0.448,0.47,0.918
296,"Kiribati",1954,11,0.426,0.452,0.878
296,"Kiribati",1954,12,0.405,0.436,0.841
296,"Kiribati",1954,13,0.387,0.421,0.808
296,"Kiribati",1954,14,0.373,0.407,0.78
296,"Kiribati",1954,15,0.36,0.395,0.755
296,"Kiribati",1954,16,0.348,0.383,0.731
296,"Kiribati",1954,17,0.34,0.373,0.713
296,"Kiribati",1954,18,0.334,0.364,0.698
296,"Kiribati",1954,19,0.329,0.356,0.685
296,"Kiribati",1954,20,0.327,0.349,0.676
296,"Kiribati",1954,21,0.325,0.344,0.669
296,"Kiribati",1954,22,0.324,0.34,0.664
296,"Kiribati",1954,23,0.323,0.334,0.657
296,"Kiribati",1954,24,0.321,0.328,0.649
296,"Kiribati",1954,25,0.318,0.322,0.64
296,"Kiribati",1954,26,0.313,0.314,0.627
296,"Kiribati",1954,27,0.308,0.306,0.614
296,"Kiribati",1954,28,0.3,0.297,0.597
296,"Kiribati",1954,29,0.293,0.287,0.58
296,"Kiribati",1954,30,0.283,0.276,0.559
296,"Kiribati",1954,31,0.271,0.264,0.535
296,"Kiribati",1954,32,0.259,0.254,0.513
296,"Kiribati",1954,33,0.248,0.244,0.492
