name,year,age,mig
Kiribati,2030,24,-0.016
Kiribati,2030,25,-0.016
Kiribati,2030,26,-0.015
Kiribati,2030,27,-0.014
Kiribati,2030,28,-0.013
Kiribati,2030,29,-0.013
Kiribati,2030,30,-0.011
Kiribati,2030,31,-0.01
Kiribati,2030,32,-0.009
Kiribati,2030,33,-0.009
Kiribati,2030,34,-0.008
Kiribati,2030,35,-0.007
Kiribati,2030,36,-0.006
Kiribati,2030,37,-0.006
Kiribati,2030,38,-0.005
Kiribati,2030,39,-0.005
Kiribati,2030,40,-0.004
Kiribati,2030,41,-0.004
Kiribati,2030,42,-0.004
Kiribati,2030,43,-0.004
Kiribati,2030,44,-0.004
Kiribati,2030,45,-0.003
Kiribati,2030,46,-0.003
Kiribati,2030,47,-0.002
Kiribati,2030,48,-0.002
Kiribati,2030,49,-0.002
Kiribati,2030,50,-0.002
Kiribati,2030,51,-0.002
Kiribati,2030,52,-0.002
Kiribati,2030,53,-0.002
Kiribati,2030,54,-0.002
Kiribati,2030,55,-0.002
Kiribati,2030,56,-0.002
Kiribati,2030,57,-0.002
Kiribati,2030,58,-0.002
Kiribati,2030,59,-0.002
Kiribati,2030,60,-0.002
Kiribati,2030,61,-0.002
Kiribati,2030,62,-0.002
Kiribati,2030,63,-0.002
Kiribati,2030,64,-0.002
Kiribati,2030,65,-0.002
Kiribati,2030,66,-0.002
Kiribati,2030,67,-0.002
Kiribati,2030,68,-0.002
Kiribati,2030,69,-0.002
Kiribati,2030,70,-0.002
Kiribati,2030,71,-0.002
Kiribati,2030,72,-0.002
Kiribati,2030,73,-0.002
Kiribati,2030,74,-0.002
Kiribati,2030,75,-0.002
Kiribati,2030,76,0
Kiribati,2030,77,0
Kiribati,2030,78,0
Kiribati,2030,79,0
Kiribati,2030,80,0
Kiribati,2030,81,0
Kiribati,2030,82,0
Kiribati,2030,83,0
Kiribati,2030,84,0
Kiribati,2030,85,0
Kiribati,2030,86,0
Kiribati,2030,87,0
Kiribati,2030,88,0
Kiribati,2030,89,0
Kiribati,2030,90,0
Kiribati,2030,91,0
Kiribati,2030,92,0
Kiribati,2030,93,0
Kiribati,2030,94,0
Kiribati,2030,95,0
Kiribati,2030,96,0
Kiribati,2030,97,0
Kiribati,2030,98,0
Kiribati,2030,99,0
Kiribati,2030,100,0
